math_score,science_score,programming_skill,communication_skill,creativity,interest_area,experience_years,career
82,76,Medium,High,Low,Technology,0,Junior Software Engineer
82,80,Medium,Medium,High,Technology,1,Frontend Developer
74,84,Medium,Medium,Medium,Technology,1,Web Developer
90,71,High,Medium,Low,Technology,0,ML Engineer (Junior)
90,83,Medium,Medium,Medium,Technology,1,Web Developer
73,88,Medium,Medium,Low,Technology,2,QA Engineer
73,86,High,High,Low,Technology,0,Software Engineer
74,81,High,Medium,Low,Technology,1,ML Engineer (Junior)
83,74,High,High,Low,Technology,1,Cyber Security Analyst
75,94,Medium,Medium,High,Technology,2,Frontend Developer
92,71,Low,High,High,Technology,2,UI/UX Designer
88,77,High,High,Low,Technology,0,ML Engineer (Junior)
73,78,High,High,Low,Technology,0,Data Scientist (Junior)
84,83,Medium,High,Low,Technology,1,QA Engineer
87,77,High,High,Low,Technology,1,Backend Developer
75,89,Medium,High,Low,Technology,0,QA Engineer
71,81,High,Medium,Low,Technology,4,Data Scientist (Junior)
84,74,Medium,Medium,Medium,Technology,2,Web Developer
83,71,Medium,High,Low,Technology,0,Data Analyst
85,83,Medium,Medium,Medium,Technology,3,Web Developer
92,76,High,Medium,Low,Technology,0,Data Scientist (Junior)
95,78,High,High,Low,Technology,0,Backend Developer
72,71,High,High,Low,Technology,2,ML Engineer (Junior)
77,90,Low,Medium,High,Technology,0,UI/UX Designer
75,92,High,High,Low,Technology,1,Data Scientist (Junior)
85,76,High,Medium,Low,Technology,0,Backend Developer
79,82,High,Medium,Low,Technology,1,Data Scientist (Junior)
75,73,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
87,94,High,Medium,Low,Technology,0,ML Engineer (Junior)
86,70,High,Medium,Low,Technology,0,Cyber Security Analyst
80,80,Medium,Medium,Low,Technology,2,Junior Software Engineer
78,90,Medium,High,Low,Technology,0,Data Analyst
73,94,Medium,High,High,Technology,2,Frontend Developer
95,83,High,Medium,Low,Technology,5,Data Scientist (Junior)
72,73,High,High,Low,Technology,1,Cloud Engineer (Junior)
82,83,Medium,Medium,Low,Technology,0,QA Engineer
72,91,High,Medium,Low,Technology,0,Software Engineer
84,71,Medium,Medium,Low,Technology,2,Junior Software Engineer
90,82,Low,Medium,High,Technology,0,UI/UX Designer
82,84,High,High,Low,Technology,1,Backend Developer
71,88,Medium,High,Low,Technology,3,Junior Software Engineer
79,94,High,Medium,Low,Technology,2,DevOps Engineer (Junior)
73,73,Medium,High,Low,Technology,1,Data Analyst
75,89,Medium,Medium,Low,Technology,1,Data Analyst
78,89,Medium,Medium,Medium,Technology,0,Web Developer
71,93,Low,Medium,High,Technology,0,UI/UX Designer
94,94,High,High,Low,Technology,1,ML Engineer (Junior)
73,79,High,Medium,Low,Technology,5,Cloud Engineer (Junior)
75,70,High,Medium,Low,Technology,1,DevOps Engineer (Junior)
95,76,High,Medium,Low,Technology,2,Data Scientist (Junior)
70,79,Medium,High,Medium,Technology,0,Web Developer
77,72,Medium,High,Medium,Technology,0,Web Developer
79,79,Medium,High,Low,Technology,0,QA Engineer
81,79,Medium,Medium,Medium,Technology,0,Web Developer
95,87,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
86,90,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
75,93,Low,Medium,High,Technology,2,UI/UX Designer
78,72,High,High,Low,Technology,4,Backend Developer
77,77,High,Medium,Low,Technology,1,Cyber Security Analyst
73,78,Medium,Medium,Low,Technology,0,Data Analyst
95,93,High,High,Low,Technology,2,ML Engineer (Junior)
73,83,Medium,High,Medium,Technology,1,Web Developer
79,72,High,Medium,Low,Technology,5,DevOps Engineer (Junior)
85,87,Medium,High,High,Technology,0,Frontend Developer
73,70,Medium,Medium,Medium,Technology,2,Web Developer
93,70,Medium,High,Low,Technology,3,Data Analyst
73,87,High,High,Low,Technology,3,Software Engineer
84,88,Medium,High,Low,Technology,1,QA Engineer
93,76,Medium,High,High,Technology,3,Frontend Developer
71,87,High,High,Low,Technology,4,Cloud Engineer (Junior)
80,77,Medium,High,Medium,Technology,0,Web Developer
86,73,Medium,High,Medium,Technology,0,Web Developer
78,87,High,High,Low,Technology,3,Data Scientist (Junior)
80,91,Medium,High,Low,Technology,1,Junior Software Engineer
73,92,High,Medium,Low,Technology,0,Cyber Security Analyst
71,80,Low,High,High,Technology,0,UI/UX Designer
89,73,High,Medium,Low,Technology,1,ML Engineer (Junior)
71,80,High,High,Low,Technology,3,Data Scientist (Junior)
76,95,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
85,72,Medium,Medium,Low,Technology,2,QA Engineer
79,86,High,High,Low,Technology,0,Backend Developer
95,85,Medium,High,Low,Technology,0,QA Engineer
86,84,High,High,Low,Technology,0,Backend Developer
87,73,Medium,Medium,Low,Technology,1,Junior Software Engineer
75,89,Medium,Medium,Low,Technology,1,Junior Software Engineer
70,80,High,High,Low,Technology,0,Backend Developer
74,71,High,Medium,Low,Technology,1,Software Engineer
87,89,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
79,70,Medium,Medium,Low,Technology,2,Data Analyst
78,87,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
89,78,Medium,Medium,Medium,Technology,0,Web Developer
88,73,High,High,Low,Technology,0,Backend Developer
90,88,High,High,Low,Technology,3,Backend Developer
71,93,Medium,High,Low,Technology,2,Junior Software Engineer
91,73,High,Medium,Low,Technology,3,Cloud Engineer (Junior)
82,90,High,High,Low,Technology,1,Backend Developer
72,77,High,Medium,Low,Technology,2,Data Scientist (Junior)
82,70,Low,High,High,Technology,2,UI/UX Designer
75,94,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
94,91,High,High,Low,Technology,0,DevOps Engineer (Junior)
71,89,High,High,Low,Technology,1,Cloud Engineer (Junior)
73,85,High,High,Low,Technology,3,Backend Developer
